"object","prevalence_bin","asvs"
"raw_all_samples",">0-1%",13270
"raw_all_samples","1-5%",1114
"raw_all_samples","5-10%",173
"raw_all_samples","10-25%",76
"raw_all_samples","25-50%",8
"raw_all_samples","50-75%",8
"raw_all_samples","75-100%",3
"taxonomic_filter",">0-1%",11271
"taxonomic_filter","1-5%",941
"taxonomic_filter","5-10%",166
"taxonomic_filter","10-25%",68
"taxonomic_filter","25-50%",4
"taxonomic_filter","50-75%",8
"taxonomic_filter","75-100%",3
"prevalence_filter",">0-1%",213
"prevalence_filter","1-5%",639
"prevalence_filter","5-10%",166
"prevalence_filter","10-25%",68
"prevalence_filter","25-50%",4
"prevalence_filter","50-75%",8
"prevalence_filter","75-100%",3
"mean_abundance_filter","1-5%",30
"mean_abundance_filter","5-10%",65
"mean_abundance_filter","10-25%",65
"mean_abundance_filter","25-50%",4
"mean_abundance_filter","50-75%",8
"mean_abundance_filter","75-100%",3
"final_all_samples","1-5%",30
"final_all_samples","5-10%",65
"final_all_samples","10-25%",65
"final_all_samples","25-50%",4
"final_all_samples","50-75%",8
"final_all_samples","75-100%",3
"final_biological_intestine",">0-1%",2
"final_biological_intestine","1-5%",27
"final_biological_intestine","5-10%",64
"final_biological_intestine","10-25%",60
"final_biological_intestine","25-50%",4
"final_biological_intestine","50-75%",8
"final_biological_intestine","75-100%",4
