"object","sample_type","samples","min_reads","q1_reads","median_reads","mean_reads","q3_reads","max_reads","total_reads"
"raw_all_samples","Mock",2,32235,33684,35133,35133,36582,38031,70266
"raw_all_samples","Intestine",133,28400,52196,56945,56033.5112781955,59546,86842,7452457
"raw_all_samples","Feed",3,44535,46313.5,48092,48399.3333333333,50331.5,52571,145198
"taxonomic_filter","Mock",2,32233,33682.5,35132,35132,36581.5,38031,70264
"taxonomic_filter","Intestine",133,17587,50230,56568,54633.7293233083,58948,86359,7266286
"taxonomic_filter","Feed",3,44526,46303,48080,48387.3333333333,50318,52556,145162
"prevalence_filter","Mock",2,32167,33624.25,35081.5,35081.5,36538.75,37996,70163
"prevalence_filter","Intestine",133,17336,47594,55955,52745.9548872181,58348,86087,7015212
"prevalence_filter","Feed",3,44526,46303,48080,48387.3333333333,50318,52556,145162
"mean_abundance_filter","Mock",2,32060,33522.5,34985,34985,36447.5,37910,69970
"mean_abundance_filter","Intestine",133,17111,47028,55673,52115.7142857143,58334,86030,6931390
"mean_abundance_filter","Feed",3,41298,41595,41892,43943.3333333333,45266,48640,131830
"final_all_samples","Mock",2,32060,33522.5,34985,34985,36447.5,37910,69970
"final_all_samples","Intestine",133,17111,47028,55673,52115.7142857143,58334,86030,6931390
"final_all_samples","Feed",3,41298,41595,41892,43943.3333333333,45266,48640,131830
"final_biological_intestine","Intestine",133,17111,47028,55673,52115.7142857143,58334,86030,6931390
