"hydro_group","timepoint","taxon_plot","mean_rel_abundance"
"Ctrl","D30","Vibrionaceae",0.934475294756942
"Ctrl","D30","Mycoplasmataceae",0.000697228644590642
"Ctrl","D30","Comamonadaceae",0
"Ctrl","D30","Fusobacteriaceae",0.0185739437412766
"Ctrl","D30","Morganellaceae",0
"Ctrl","D30","Others",0.000101869479550397
"Ctrl","D30","Bacteroidaceae",0
"Ctrl","D30","Lachnospiraceae",0
"Ctrl","D30","Streptococcaceae",0.0241084828556443
"Ctrl","D30","Propionibacteriaceae",0.000330972547542868
"Ctrl","D30","Lactobacillaceae",0.0214197752101745
"Ctrl","D30","Moraxellaceae",2.75896664158515e-05
"Ctrl","D30","Bacillaceae",0.000222657947278121
"Ctrl","D30","Pseudomonadaceae",0
"Ctrl","D30","Staphylococcaceae",2.71362416305342e-05
"Ctrl","D30","Chloroplast",1.50489089541008e-05
"Ctrl","D07","Vibrionaceae",0.279750906313557
"Ctrl","D07","Mycoplasmataceae",0.0656022495187019
"Ctrl","D07","Comamonadaceae",0.162163468563579
"Ctrl","D07","Fusobacteriaceae",0.10044497899825
"Ctrl","D07","Morganellaceae",0.153633511398628
"Ctrl","D07","Others",0.0593499828947187
"Ctrl","D07","Bacteroidaceae",0.0468974696426945
"Ctrl","D07","Lachnospiraceae",0.0547434345658034
"Ctrl","D07","Streptococcaceae",0.00982722026111262
"Ctrl","D07","Propionibacteriaceae",0.00405936191812396
"Ctrl","D07","Lactobacillaceae",0.000865901045017064
"Ctrl","D07","Moraxellaceae",0.0108378329826567
"Ctrl","D07","Bacillaceae",0.014725572472887
"Ctrl","D07","Pseudomonadaceae",0.0238586555519359
"Ctrl","D07","Staphylococcaceae",0.00845414208775792
"Ctrl","D07","Chloroplast",0.00478531178457678
"Ctrl","D90","Vibrionaceae",0.376249489083551
"Ctrl","D90","Mycoplasmataceae",0.522796136468771
"Ctrl","D90","Comamonadaceae",5.09267795836297e-05
"Ctrl","D90","Fusobacteriaceae",0.0931661333308732
"Ctrl","D90","Morganellaceae",0
"Ctrl","D90","Others",0.00531357066145695
"Ctrl","D90","Bacteroidaceae",3.51219169542274e-06
"Ctrl","D90","Lachnospiraceae",0
"Ctrl","D90","Streptococcaceae",0.000367617502907231
"Ctrl","D90","Propionibacteriaceae",0.000359994912409151
"Ctrl","D90","Lactobacillaceae",0.000559464544690497
"Ctrl","D90","Moraxellaceae",0.000132526387371024
"Ctrl","D90","Bacillaceae",3.23802463455057e-05
"Ctrl","D90","Pseudomonadaceae",0.000137828820425001
"Ctrl","D90","Staphylococcaceae",4.24395505962412e-05
"Ctrl","D90","Chloroplast",0.000787979519324212
"Hydrolysate","D30","Vibrionaceae",0.860701822069931
"Hydrolysate","D30","Mycoplasmataceae",0.0749081695701317
"Hydrolysate","D30","Comamonadaceae",0
"Hydrolysate","D30","Fusobacteriaceae",0.0559893486854168
"Hydrolysate","D30","Morganellaceae",0
"Hydrolysate","D30","Others",0.00293600416535512
"Hydrolysate","D30","Bacteroidaceae",0
"Hydrolysate","D30","Lachnospiraceae",0
"Hydrolysate","D30","Streptococcaceae",0.00217954793022176
"Hydrolysate","D30","Propionibacteriaceae",0.0011315957972576
"Hydrolysate","D30","Lactobacillaceae",0.000922772017406545
"Hydrolysate","D30","Moraxellaceae",0.000941084631182645
"Hydrolysate","D30","Bacillaceae",9.83502981422391e-06
"Hydrolysate","D30","Pseudomonadaceae",9.92292282998258e-05
"Hydrolysate","D30","Staphylococcaceae",0.000177210985550426
"Hydrolysate","D30","Chloroplast",3.37988943255036e-06
"Hydrolysate","D07","Vibrionaceae",0.614781965170304
"Hydrolysate","D07","Mycoplasmataceae",0.0157841765675167
"Hydrolysate","D07","Comamonadaceae",0.129842727495354
"Hydrolysate","D07","Fusobacteriaceae",0.0112934997077558
"Hydrolysate","D07","Morganellaceae",0.100314520309137
"Hydrolysate","D07","Others",0.0217464268006632
"Hydrolysate","D07","Bacteroidaceae",0.0315943080049473
"Hydrolysate","D07","Lachnospiraceae",0.0283584161093747
"Hydrolysate","D07","Streptococcaceae",0.00782800318160096
"Hydrolysate","D07","Propionibacteriaceae",0.00487795848402898
"Hydrolysate","D07","Lactobacillaceae",0.000521332224349193
"Hydrolysate","D07","Moraxellaceae",0.0173444161156561
"Hydrolysate","D07","Bacillaceae",0.00384512411108168
"Hydrolysate","D07","Pseudomonadaceae",0.00104943909858888
"Hydrolysate","D07","Staphylococcaceae",0.00603656990932162
"Hydrolysate","D07","Chloroplast",0.00478111671032032
"Hydrolysate","D90","Vibrionaceae",0.274696047454618
"Hydrolysate","D90","Mycoplasmataceae",0.718904727506112
"Hydrolysate","D90","Comamonadaceae",0
"Hydrolysate","D90","Fusobacteriaceae",0.00262923597300856
"Hydrolysate","D90","Morganellaceae",0
"Hydrolysate","D90","Others",0.00139225078648625
"Hydrolysate","D90","Bacteroidaceae",0
"Hydrolysate","D90","Lachnospiraceae",0
"Hydrolysate","D90","Streptococcaceae",0.000635786160266865
"Hydrolysate","D90","Propionibacteriaceae",0.000195356736259264
"Hydrolysate","D90","Lactobacillaceae",0.000213347591900705
"Hydrolysate","D90","Moraxellaceae",0.00076367570386211
"Hydrolysate","D90","Bacillaceae",2.26994658815678e-06
"Hydrolysate","D90","Pseudomonadaceae",3.64063569418645e-05
"Hydrolysate","D90","Staphylococcaceae",0.000344926230567892
"Hydrolysate","D90","Chloroplast",0.000185969553388737
