"tax_level","source","taxon","taxon_plot","count","rel_abundance","percent"
"Species","Expected 16S composition","Limosilactobacillus fermentum","Limosilactobacillus fermentum",,0.184,18.4
"Species","Expected 16S composition","Bacillus subtilis","Bacillus subtilis",,0.174,17.4
"Species","Expected 16S composition","Staphylococcus aureus","Staphylococcus aureus",,0.155,15.5
"Species","Expected 16S composition","Listeria monocytogenes","Listeria monocytogenes",,0.141,14.1
"Species","Expected 16S composition","Salmonella enterica","Salmonella enterica",,0.104,10.4
"Species","Expected 16S composition","Escherichia-Shigella coli group","Escherichia-Shigella coli group",,0.101,10.1
"Species","Expected 16S composition","Enterococcus faecalis","Enterococcus faecalis",,0.099,9.9
"Species","Expected 16S composition","Pseudomonas aeruginosa","Pseudomonas aeruginosa",,0.042,4.2
"Species","Observed after sequencing","Limosilactobacillus fermentum","Limosilactobacillus fermentum",20576,0.294068886665714,29.4068886665714
"Species","Observed after sequencing","Bacillus subtilis","Bacillus subtilis",10784,0.154123195655281,15.4123195655281
"Species","Observed after sequencing","Escherichia-Shigella coli group","Escherichia-Shigella coli group",9399,0.134328998142061,13.4328998142061
"Species","Observed after sequencing","Salmonella enterica","Salmonella enterica",8628,0.123309989995712,12.3309989995712
"Species","Observed after sequencing","Staphylococcus aureus","Staphylococcus aureus",5850,0.0836072602543947,8.36072602543947
"Species","Observed after sequencing","Enterococcus faecalis","Enterococcus faecalis",5838,0.083435758182078,8.3435758182078
"Species","Observed after sequencing","Listeria monocytogenes","Listeria monocytogenes",5603,0.0800771759325425,8.00771759325425
"Species","Observed after sequencing","Pseudomonas aeruginosa","Pseudomonas aeruginosa",2118,0.0302701157638988,3.02701157638988
"Species","Observed after sequencing","Salmonella unresolved","Salmonella unresolved",1174,0.0167786194083179,1.67786194083179
