"level","comparison","n_deseq2_only","n_aldex2_only","n_both","n_both_same_direction"
"asv","BL15_D30_vs_D07",14,0,0,0
"asv","BL15_D90_vs_D07",9,0,1,1
"asv","BL15_D90_vs_D30",6,1,0,0
"asv","BL30_D30_vs_D07",32,0,0,0
"asv","BL30_D90_vs_D07",25,0,0,0
"asv","BL30_D90_vs_D30",11,0,2,2
"asv","Ctrl_D30_vs_D07",93,0,0,0
"asv","Ctrl_D90_vs_D07",64,1,0,0
"asv","Ctrl_D90_vs_D30",4,0,1,1
"asv","Hydrolysate_D30_vs_D07",44,0,0,0
"asv","Hydrolysate_D90_vs_D07",34,0,1,1
"asv","Hydrolysate_D90_vs_D30",19,0,1,1
"asv","global_BL15_vs_Ctrl",7,0,0,0
"asv","global_BL30_vs_BL15",6,0,0,0
"asv","global_BL30_vs_Ctrl",7,0,0,0
"asv","global_Hydrolysate_vs_Ctrl",14,0,0,0
"asv","t30_BL30_vs_BL15",4,0,0,0
"asv","t30_BL30_vs_Ctrl",4,0,0,0
"asv","t30_Hydrolysate_vs_Ctrl",5,0,0,0
"asv","t7_BL15_vs_Ctrl",7,0,0,0
"asv","t7_BL30_vs_Ctrl",12,0,0,0
"asv","t7_Hydrolysate_vs_Ctrl",7,0,0,0
"asv","t90_BL15_vs_Ctrl",1,0,0,0
"asv","t90_BL30_vs_BL15",2,0,0,0
"asv","t90_BL30_vs_Ctrl",1,0,0,0
"genus","BL15_D30_vs_D07",7,0,0,0
"genus","BL15_D90_vs_D07",6,0,0,0
"genus","BL15_D90_vs_D30",1,0,0,0
"genus","BL30_D30_vs_D07",24,0,0,0
"genus","BL30_D90_vs_D07",9,0,0,0
"genus","BL30_D90_vs_D30",1,0,1,1
"genus","Ctrl_D30_vs_D07",38,0,0,0
"genus","Ctrl_D90_vs_D07",29,0,0,0
"genus","Ctrl_D90_vs_D30",2,0,0,0
"genus","Hydrolysate_D30_vs_D07",25,0,0,0
"genus","Hydrolysate_D90_vs_D07",17,0,1,1
"genus","Hydrolysate_D90_vs_D30",0,0,1,1
"genus","global_BL15_vs_Ctrl",1,0,0,0
"genus","global_BL30_vs_Ctrl",1,0,0,0
"genus","global_Hydrolysate_vs_Ctrl",1,0,0,0
"genus","t30_BL15_vs_Ctrl",1,0,0,0
"genus","t30_BL30_vs_Ctrl",2,0,0,0
"genus","t30_Hydrolysate_vs_Ctrl",2,0,0,0
"genus","t7_BL15_vs_Ctrl",2,0,0,0
"genus","t7_BL30_vs_Ctrl",3,0,0,0
"genus","t7_Hydrolysate_vs_Ctrl",3,0,0,0
"genus","t90_BL15_vs_Ctrl",1,0,0,0
